Place,lat,lng,date
Osteria Barberini,41.904283808618,12.487526009301,Thu Feb 09 2017 22:49:05 GMT+0900 (KST)
イルファボーレ　il favore,35.530772131379,139.43777861934,Thu Feb 09 2017 23:07:15 GMT+0900 (KST)
CIAK - In The Kitchen,22.280634501983,114.15770259575,Thu Feb 09 2017 22:51:27 GMT+0900 (KST)
Trattoria Zà Zà Firenze,43.776413548056,11.254223982485,Thu Feb 09 2017 22:47:21 GMT+0900 (KST)
La Maison de la Truffe,48.870739,2.3239901,Thu Feb 09 2017 22:44:15 GMT+0900 (KST)
CIAK - In The Kitchen,22.280634501983,114.15770259575,Thu Feb 09 2017 22:51:27 GMT+0900 (KST)
Ardere - 아르데레,37.54972155437,126.91770225763,Thu Feb 09 2017 22:21:26 GMT+0900 (KST)
Osteria Barberini,41.904283808618,12.487526009301,Thu Feb 09 2017 22:49:05 GMT+0900 (KST)
Vesper,13.72715,100.53362,Thu Feb 09 2017 22:42:31 GMT+0900 (KST)
Trattoria Zà Zà Firenze,43.776413548056,11.254223982485,Thu Feb 09 2017 22:47:21 GMT+0900 (KST)
Savini Tartufi,43.59163,10.71914,Thu Feb 09 2017 22:26:03 GMT+0900 (KST)
8½ Otto e Mezzo Bombana,22.2815,114.159,Thu Feb 09 2017 22:43:06 GMT+0900 (KST)
イルファボーレ　il favore,35.530772131379,139.43777861934,Thu Feb 09 2017 23:07:15 GMT+0900 (KST)
La Maison de la Truffe,48.870739,2.3239901,Thu Feb 09 2017 22:44:15 GMT+0900 (KST)
Mora Italian,33.51981,-112.06451,Thu Feb 09 2017 22:37:21 GMT+0900 (KST)
Mister Gee Burger Truck,-33.87460794823,151.12839702685,Thu Feb 09 2017 22:19:43 GMT+0900 (KST)
イルファボーレ　il favore,35.530772131379,139.43777861934,Thu Feb 09 2017 23:07:15 GMT+0900 (KST)
Savini Tartufi,43.59163,10.71914,Thu Feb 09 2017 22:26:03 GMT+0900 (KST)
Ardere - 아르데레,37.54972155437,126.91770225763,Thu Feb 09 2017 22:21:26 GMT+0900 (KST)
Mister Gee Burger Truck,-33.87460794823,151.12839702685,Thu Feb 09 2017 22:19:43 GMT+0900 (KST)
Vesper,13.72715,100.53362,Thu Feb 09 2017 22:42:31 GMT+0900 (KST)
8½ Otto e Mezzo Bombana,22.2815,114.159,Thu Feb 09 2017 22:43:06 GMT+0900 (KST)
Trattoria Zà Zà Firenze,43.776413548056,11.254223982485,Thu Feb 09 2017 22:47:21 GMT+0900 (KST)
Gardner,37.524781990948,127.036751305,Thu Feb 09 2017 22:02:53 GMT+0900 (KST)
Melanated Rich,38.5932394,-90.2276079,Thu Feb 09 2017 22:05:43 GMT+0900 (KST)
BOUILLON BILK,45.510820751056,-73.566095296881,Thu Feb 09 2017 21:53:21 GMT+0900 (KST)
Mercer Kitchen,40.724699610353,-73.998654025491,Thu Feb 09 2017 22:07:11 GMT+0900 (KST)
Osteria Barberini,41.904283808618,12.487526009301,Thu Feb 09 2017 22:49:05 GMT+0900 (KST)
Chiune,35.67200810673,139.77076860504,Thu Feb 09 2017 21:57:24 GMT+0900 (KST)
Tanuki Raw,1.30076,103.83969,Thu Feb 09 2017 21:48:18 GMT+0900 (KST)
CIAK - In The Kitchen,22.280634501983,114.15770259575,Thu Feb 09 2017 22:51:27 GMT+0900 (KST)
La Maison de la Truffe,48.870739,2.3239901,Thu Feb 09 2017 22:44:15 GMT+0900 (KST)
Mora Italian,33.51981,-112.06451,Thu Feb 09 2017 22:37:21 GMT+0900 (KST)
Mistral Restaurant,42.3479474,-71.0728496,Thu Feb 09 2017 22:04:18 GMT+0900 (KST)
Mora Italian,33.51981,-112.06451,Thu Feb 09 2017 22:37:21 GMT+0900 (KST)
Chiune,35.67200810673,139.77076860504,Thu Feb 09 2017 21:57:24 GMT+0900 (KST)
Ardere - 아르데레,37.54972155437,126.91770225763,Thu Feb 09 2017 22:21:26 GMT+0900 (KST)
Mister Gee Burger Truck,-33.87460794823,151.12839702685,Thu Feb 09 2017 22:19:43 GMT+0900 (KST)
Melanated Rich,38.5932394,-90.2276079,Thu Feb 09 2017 22:05:43 GMT+0900 (KST)
Savini Tartufi,43.59163,10.71914,Thu Feb 09 2017 22:26:03 GMT+0900 (KST)
イルファボーレ　il favore,35.530772131379,139.43777861934,Thu Feb 09 2017 23:07:15 GMT+0900 (KST)
Gardner,37.524781990948,127.036751305,Thu Feb 09 2017 22:02:53 GMT+0900 (KST)
Tanuki Raw,1.30076,103.83969,Thu Feb 09 2017 21:48:18 GMT+0900 (KST)
Mercer Kitchen,40.724699610353,-73.998654025491,Thu Feb 09 2017 22:07:11 GMT+0900 (KST)
Osteria Barberini,41.904283808618,12.487526009301,Thu Feb 09 2017 22:49:05 GMT+0900 (KST)
Trattoria Zà Zà Firenze,43.776413548056,11.254223982485,Thu Feb 09 2017 22:47:21 GMT+0900 (KST)
Redmanna Waterfront Restaurant,-32.53392,115.71864,Thu Feb 09 2017 21:45:15 GMT+0900 (KST)
Sfoglina DC,38.9464902,-77.0646701,Thu Feb 09 2017 21:40:31 GMT+0900 (KST)
Hos Lee,55.643492963508,13.209974824463,Thu Feb 09 2017 21:12:43 GMT+0900 (KST)
